ID_Cliente,Idade,Genero,Estado,Plano,Tempo_Cliente_Meses,Mensalidade,Uso_Mensal_Horas,Quantidade_Chamados,Atrasos_Pagamento,Forma_Pagamento,Churn
152,35,Feminino,CE,Básico,48,63.0,52,6,2,Débito Automático,Não
153,69,Masculino,RJ,Básico,55,52.0,46,2,4,Débito Automático,Sim
154,37,Feminino,PE,Padrão,55,134.0,40,5,3,Cartão de Crédito,Sim
155,22,Feminino,SP,Premium,52,246.0,21,2,0,Cartão de Crédito,Não
156,33,Feminino,BA,Premium,47,232.0,52,0,4,Pix,Sim
157,66,Masculino,SP,Básico,18,66.0,99,5,5,Boleto,Sim
158,49,Feminino,PR,Premium,50,175.0,83,4,6,Débito Automático,Não
159,62,Feminino,RJ,Padrão,26,98.0,108,7,1,Débito Automático,Não
160,60,Masculino,BA,Padrão,9,124.0,70,4,6,Boleto,Sim
161,25,Feminino,CE,Básico,18,57.0,107,0,2,Boleto,Não
162,57,Masculino,MG,Básico,9,59.0,45,8,3,Cartão de Crédito,Não
163,46,Masculino,PE,Padrão,67,98.0,69,10,4,Cartão de Crédito,Sim
164,71,Masculino,BA,Básico,67,54.0,71,2,2,Débito Automático,Não
165,72,Masculino,MG,Básico,33,56.0,80,4,1,Boleto,Não
166,28,Feminino,PR,Premium,44,165.0,103,0,0,Pix,Sim
167,57,Feminino,PR,Premium,4,229.0,108,4,5,Pix,Não
168,37,Masculino,BA,Padrão,10,93.0,82,7,3,Boleto,Não
169,38,Masculino,BA,Premium,41,211.0,35,2,6,Pix,Não
170,25,Feminino,PR,Padrão,58,99.0,115,0,2,Boleto,Não
171,70,Feminino,CE,Padrão,41,138.0,7,7,4,Cartão de Crédito,Não
172,43,Feminino,CE,Premium,59,187.0,81,9,2,Pix,Sim
173,36,Feminino,BA,Premium,2,215.0,10,2,2,Pix,Não
174,21,Feminino,RS,Premium,72,230.0,110,4,0,Cartão de Crédito,Não
175,26,Masculino,PE,,51,61.0,69,8,2,Cartão de Crédito,Não
176,20,Masculino,BA,Básico,18,72.0,83,8,3,Débito Automático,Sim
177,28,Feminino,CE,Padrão,39,111.0,109,8,4,Cartão de Crédito,Não
178,41,Masculino,CE,,15,127.0,38,12,5,Boleto,Não
179,64,Feminino,MG,Básico,62,55.0,110,11,4,Boleto,Não
180,20,Masculino,PE,Premium,15,216.0,69,5,3,Pix,Não
181,73,Feminino,PE,Premium,8,226.0,45,3,4,Boleto,Sim
182,47,Feminino,CE,Premium,44,246.0,29,12,6,Boleto,Não
183,35,Feminino,BA,Premium,39,196.0,66,11,1,Débito Automático,Não
184,53,Feminino,BA,,36,233.0,103,10,4,,Sim
185,36,Feminino,PR,Básico,37,80.0,30,5,3,Débito Automático,Não
186,53,Masculino,PR,Premium,35,238.0,86,11,4,Boleto,Sim
187,21,Masculino,MG,Básico,53,60.0,57,1,5,Pix,Não
188,48,Masculino,PR,Premium,26,201.0,73,4,5,Cartão de Crédito,Sim
189,29,Feminino,SP,Padrão,23,92.0,6,12,3,Débito Automático,Sim
190,54,Feminino,MG,Premium,14,196.0,113,7,5,Pix,Não
191,35,Masculino,BA,Básico,15,60.0,106,10,2,Débito Automático,Não
192,54,Feminino,RJ,Premium,25,241.0,56,6,6,Cartão de Crédito,Não
193,29,Feminino,BA,Básico,62,60.0,43,4,3,Cartão de Crédito,Não
194,34,Masculino,PE,Premium,47,167.0,92,10,0,Débito Automático,Não
195,62,Feminino,BA,Básico,38,61.0,58,3,1,Pix,Não
196,66,Masculino,CE,Premium,28,247.0,72,12,4,Débito Automático,Não
197,22,Masculino,BA,Premium,15,224.0,114,3,4,Pix,Não
198,25,Masculino,CE,Premium,27,222.0,21,1,4,Pix,Não
199,47,Feminino,RS,Premium,8,246.0,109,12,2,Cartão de Crédito,Não
200,65,Masculino,RJ,Básico,10,51.0,65,11,0,Cartão de Crédito,Sim
201,36,Feminino,PE,Padrão,24,98.0,62,11,5,Pix,Não
202,42,Feminino,MG,Básico,70,54.0,98,1,1,Boleto,Não
203,71,Feminino,PR,Básico,3,59.0,36,11,4,Pix,Sim
204,40,Masculino,PR,Básico,36,56.0,31,0,6,Cartão de Crédito,Não
205,24,Masculino,PE,Premium,5,246.0,61,11,6,Boleto,Sim
206,52,Feminino,BA,Básico,8,54.0,35,3,6,Débito Automático,Não
207,74,Masculino,PE,Básico,67,57.0,76,4,0,Pix,Não
208,21,Feminino,PE,Padrão,49,123.0,28,11,3,Pix,Não
209,33,Feminino,PE,Básico,39,77.0,76,12,3,Boleto,Não
210,42,Masculino,PR,Básico,33,56.0,11,1,3,Débito Automático,Não
211,42,Masculino,CE,Premium,6,184.0,31,12,6,Débito Automático,Sim
212,37,Masculino,PR,Básico,28,79.0,55,11,6,Boleto,Sim
213,53,Feminino,CE,Padrão,37,119.0,64,10,2,Cartão de Crédito,Não
214,69,Masculino,MG,Premium,61,186.0,7,5,2,Débito Automático,Não
215,53,Masculino,CE,Premium,54,185.0,75,5,1,Débito Automático,Não
216,34,Feminino,MG,Padrão,63,100.0,118,2,1,Cartão de Crédito,Não
217,51,Masculino,RJ,Básico,10,80.0,95,12,0,Boleto,Sim
218,18,Feminino,CE,Básico,65,64.0,7,9,5,Cartão de Crédito,Não
219,52,Feminino,SP,Premium,53,227.0,69,11,2,Pix,Não
220,69,Feminino,BA,Básico,14,79.0,39,2,1,Pix,Sim
221,23,Masculino,SP,Padrão,52,126.0,16,11,1,Pix,Sim
222,42,Feminino,PE,Padrão,71,93.0,87,0,5,Débito Automático,Sim
223,54,Feminino,RS,Básico,68,79.0,10,3,6,Cartão de Crédito,Não
224,61,Masculino,MG,Padrão,70,132.0,101,2,6,Pix,Não
225,22,Feminino,PE,Padrão,21,105.0,101,6,5,Boleto,Não
226,68,Masculino,BA,Premium,11,204.0,82,0,0,Pix,Não
227,67,Feminino,PE,Padrão,4,107.0,28,7,1,Pix,Não
228,23,Masculino,PE,Premium,38,169.0,45,1,2,Débito Automático,Não
229,24,Masculino,RJ,Básico,1,80.0,28,5,6,Pix,Sim
230,46,Masculino,BA,Premium,72,173.0,115,0,0,Pix,Não
231,18,Masculino,MG,Padrão,53,139.0,92,11,4,Pix,Não
232,28,Feminino,PE,Básico,35,59.0,43,2,0,Pix,Sim
233,68,Feminino,RJ,Básico,47,58.0,22,7,4,Débito Automático,Não
234,18,Feminino,PE,Padrão,43,129.0,109,12,6,Boleto,Sim
235,37,Feminino,,Padrão,26,110.0,46,6,2,Pix,Não
236,35,Masculino,CE,Padrão,47,126.0,95,9,4,Boleto,Sim
237,46,Feminino,PR,Padrão,9,140.0,37,10,3,Boleto,Sim
238,63,Feminino,SP,Padrão,49,118.0,106,7,4,Débito Automático,Não
239,62,Masculino,PE,Premium,11,191.0,101,10,5,Débito Automático,Sim
240,68,Masculino,CE,Padrão,14,96.0,52,3,4,Pix,Não
241,47,Masculino,RJ,Premium,65,163.0,111,7,0,Boleto,Não
242,40,Masculino,CE,Padrão,44,140.0,97,8,3,Pix,Não
243,38,Masculino,MG,Básico,39,51.0,99,0,6,Boleto,Sim
244,51,Feminino,MG,Básico,71,55.0,28,6,3,Pix,Não
245,43,Masculino,RS,Básico,26,64.0,101,6,0,Cartão de Crédito,Não
246,54,Feminino,BA,Básico,69,55.0,81,3,3,Pix,Sim
247,57,Feminino,RJ,Padrão,15,112.0,91,9,1,Boleto,Não
248,38,Feminino,PE,Básico,31,59.0,81,5,5,Boleto,Sim
249,54,Masculino,MG,Padrão,55,121.0,67,8,5,Débito Automático,Não
250,26,Masculino,CE,Básico,41,76.0,22,0,6,Boleto,Não
251,70,Feminino,CE,Padrão,72,131.0,26,6,5,Cartão de Crédito,Não
252,54,Feminino,CE,Básico,29,59.0,75,3,4,Cartão de Crédito,Sim
253,54,Feminino,PR,Básico,35,74.0,59,8,6,Cartão de Crédito,Não
254,65,Masculino,CE,Premium,32,217.0,115,4,2,Cartão de Crédito,Não
255,67,Feminino,MG,Básico,27,75.0,83,11,2,Boleto,Não
256,68,Masculino,BA,Básico,27,75.0,95,5,4,Débito Automático,Sim
257,36,Feminino,SP,Premium,35,246.0,40,1,1,,Não
258,62,Feminino,CE,Básico,32,54.0,23,3,6,Débito Automático,Não
259,58,Feminino,BA,Padrão,49,94.0,63,12,6,Pix,Sim
260,38,Feminino,RJ,Premium,1,171.0,106,11,3,Pix,Não
261,31,Masculino,CE,Padrão,28,107.0,105,4,2,,Não
262,75,Masculino,MG,,7,240.0,61,12,6,Pix,Sim
263,18,Feminino,RJ,Padrão,26,98.0,88,4,1,Débito Automático,Não
264,34,Masculino,PE,Básico,48,71.0,88,0,3,Cartão de Crédito,Não
265,63,Feminino,SP,Básico,1,56.0,6,2,4,Débito Automático,Sim
266,70,Masculino,RJ,Básico,55,72.0,45,1,1,Débito Automático,Não
267,74,Masculino,MG,Padrão,18,139.0,61,10,5,Débito Automático,Sim
268,64,Masculino,RJ,Básico,20,79.0,22,10,3,Cartão de Crédito,Não
269,55,Masculino,PR,Premium,50,200.0,75,12,1,Débito Automático,Sim
270,67,Masculino,PE,Premium,4,198.0,42,3,4,Cartão de Crédito,Não
271,68,Masculino,BA,Básico,64,62.0,45,7,5,Boleto,Não
272,42,Masculino,SP,Premium,54,247.0,80,2,6,Cartão de Crédito,Não
273,18,Feminino,PE,Padrão,28,93.0,94,8,2,Pix,Não
274,23,Masculino,MG,Premium,69,179.0,73,4,0,Débito Automático,Não
275,43,Masculino,RJ,Premium,9,215.0,60,11,6,Cartão de Crédito,Sim
276,47,Masculino,SP,Premium,8,244.0,25,11,1,Pix,Sim
277,40,Feminino,RJ,Premium,67,193.0,103,2,2,Cartão de Crédito,Não
278,39,Feminino,CE,Padrão,35,94.0,70,11,4,Débito Automático,Não
279,21,Masculino,PR,Padrão,22,100.0,99,12,0,Cartão de Crédito,Não
280,20,Masculino,PE,Básico,32,51.0,33,6,1,Débito Automático,Sim
281,33,Masculino,MG,Padrão,41,94.0,33,5,0,Cartão de Crédito,Não
282,43,Masculino,BA,Básico,60,77.0,30,5,0,Débito Automático,Não
283,54,Masculino,MG,Padrão,32,113.0,5,7,6,Pix,Não
284,19,Feminino,RS,Básico,70,61.0,18,0,2,Boleto,Sim
285,51,Masculino,PE,Básico,54,65.0,94,11,2,Débito Automático,Sim
286,47,Masculino,SP,Premium,11,224.0,60,2,5,Boleto,Não
287,33,Feminino,CE,Padrão,34,110.0,39,11,6,Boleto,Não
288,22,Feminino,CE,Básico,18,74.0,45,1,1,Pix,Sim
289,25,Masculino,RJ,Premium,46,186.0,25,7,2,Débito Automático,Não
290,70,Feminino,PE,Premium,6,178.0,70,1,5,Cartão de Crédito,Sim
291,61,Masculino,RJ,Padrão,34,101.0,64,6,6,Cartão de Crédito,Não
292,69,Feminino,RJ,Básico,16,50.0,79,2,1,Débito Automático,Não
293,70,Feminino,RJ,Básico,3,52.0,10,7,6,Pix,Sim
294,21,Feminino,MG,,56,76.0,50,7,0,Boleto,Não
295,29,Feminino,CE,Padrão,36,99.0,57,9,4,Pix,Não
296,21,Masculino,SP,Básico,36,62.0,53,3,5,Débito Automático,Não
297,48,Masculino,BA,Premium,63,224.0,81,5,3,Boleto,Não
298,19,Masculino,MG,Padrão,8,120.0,17,5,6,Boleto,Não
299,60,Feminino,BA,Básico,35,67.0,112,12,1,Boleto,Não
300,29,Feminino,MG,Básico,41,75.0,77,5,4,Boleto,Sim
301,71,Masculino,SP,Padrão,70,101.0,72,0,0,Pix,Sim
302,18,Feminino,SP,Padrão,26,98.0,7,11,1,Boleto,Não
303,55,Feminino,RJ,Premium,19,227.0,48,5,0,Débito Automático,Não
304,38,Feminino,PR,Básico,21,73.0,90,7,5,Boleto,Sim
305,42,Masculino,MG,Padrão,38,101.0,82,11,4,Débito Automático,Sim
306,69,Masculino,PR,Premium,29,173.0,49,7,1,Débito Automático,Não
307,28,Feminino,SP,Premium,12,245.0,38,10,5,Boleto,Não
308,33,Feminino,PE,Premium,9,173.0,26,11,0,Pix,Sim
309,49,Masculino,MG,Padrão,45,114.0,62,7,6,Cartão de Crédito,Não
310,69,Feminino,MG,Básico,38,50.0,98,1,0,Cartão de Crédito,Não
311,53,Masculino,PE,Básico,44,69.0,25,11,0,Cartão de Crédito,Não
312,24,Feminino,RS,Padrão,27,116.0,43,8,5,Boleto,Não
313,24,Feminino,RJ,Básico,51,68.0,42,2,0,Pix,Não
314,30,Masculino,RS,Básico,4,56.0,105,4,0,Pix,Não
315,48,Feminino,BA,Padrão,34,131.0,28,6,1,Pix,Não
316,20,Masculino,RJ,Padrão,57,106.0,90,4,4,Débito Automático,Sim
317,69,Feminino,CE,Premium,53,189.0,78,8,0,Boleto,Não
318,48,Masculino,RJ,Padrão,11,135.0,101,8,4,Pix,Não
319,29,Feminino,PR,Básico,28,75.0,110,0,3,Boleto,Sim
320,71,Feminino,RS,Premium,34,168.0,71,1,3,Pix,Não
321,73,Masculino,RJ,Básico,67,75.0,77,6,1,Cartão de Crédito,Sim
322,68,Feminino,SP,Padrão,69,112.0,27,4,3,Débito Automático,Não
323,43,Feminino,RS,Básico,52,51.0,119,11,1,Débito Automático,Sim
324,19,Masculino,MG,Padrão,39,107.0,43,11,5,Pix,Sim
325,67,Masculino,PE,Padrão,35,116.0,99,10,0,Pix,Sim
326,66,Feminino,MG,Premium,48,225.0,104,12,1,Cartão de Crédito,Sim
327,29,Feminino,PR,Básico,26,76.0,40,0,3,Débito Automático,Sim
328,70,Feminino,CE,Padrão,65,130.0,27,10,0,Pix,Sim
329,55,Feminino,SP,Premium,45,193.0,54,11,6,Cartão de Crédito,Não
330,28,Feminino,SP,Premium,28,242.0,115,3,5,Cartão de Crédito,Sim
331,48,Feminino,RS,Básico,23,69.0,59,4,4,Pix,Não
332,72,Feminino,RJ,Padrão,59,103.0,5,4,5,Débito Automático,Não
333,53,Feminino,BA,Premium,37,173.0,115,7,0,Débito Automático,Não
334,34,Feminino,BA,Premium,39,226.0,92,12,1,Boleto,Não
335,64,Masculino,BA,Básico,64,59.0,97,6,3,Boleto,Não
336,61,Masculino,RS,Premium,61,205.0,17,8,2,Pix,Não
337,26,Masculino,BA,Premium,34,183.0,33,10,2,Débito Automático,Não
338,44,Masculino,RJ,Padrão,48,127.0,65,7,6,Boleto,Sim
339,50,Masculino,PR,Básico,49,66.0,48,0,6,Pix,Não
340,54,Masculino,BA,Padrão,19,135.0,86,12,0,Cartão de Crédito,Não
341,18,Masculino,MG,Padrão,36,138.0,83,9,6,Pix,Sim
342,58,Feminino,SP,Padrão,52,120.0,119,0,0,Débito Automático,Não
343,66,Feminino,RS,Premium,25,160.0,21,10,5,Cartão de Crédito,Sim
344,42,Feminino,PE,Premium,40,165.0,118,4,2,Boleto,Não
345,39,Masculino,MG,Padrão,46,102.0,32,12,3,Cartão de Crédito,Sim
346,55,Feminino,SP,Premium,22,243.0,81,12,0,Cartão de Crédito,Não
347,60,Feminino,CE,Básico,3,51.0,94,6,3,Boleto,Não
348,31,Masculino,PE,Premium,2,244.0,111,1,5,Cartão de Crédito,Não
349,50,Feminino,PR,Premium,16,173.0,50,7,1,Pix,Não
350,36,Masculino,SP,Básico,6,67.0,90,11,3,Cartão de Crédito,Sim
351,25,Feminino,PR,Premium,64,225.0,63,1,5,Débito Automático,Não
352,34,Feminino,PE,Padrão,7,101.0,99,4,2,Cartão de Crédito,Não
353,24,Feminino,RS,Básico,2,77.0,117,10,1,Cartão de Crédito,Sim
354,41,Feminino,PE,Padrão,24,115.0,88,7,2,Boleto,Não
355,25,Feminino,,Básico,8,80.0,83,6,4,Pix,Sim
356,67,Feminino,CE,Padrão,4,133.0,10,7,3,Cartão de Crédito,Sim
357,34,Masculino,BA,Premium,41,246.0,71,8,6,Cartão de Crédito,Não
358,45,Masculino,SP,Premium,32,244.0,87,10,5,Boleto,Sim
359,50,Feminino,RS,Padrão,64,100.0,11,12,3,Boleto,Não
360,53,Feminino,RJ,Premium,49,170.0,114,7,3,,Não
361,46,Masculino,SP,Padrão,16,137.0,110,0,0,Cartão de Crédito,Não
362,68,,BA,Premium,39,231.0,110,3,5,Cartão de Crédito,Não
363,70,Feminino,CE,Básico,59,60.0,19,9,3,Cartão de Crédito,Não
